Odds Ratio,PPV,Youden's J Index
3.0,0.6,0.7989690721649485
12.0,0.95,0.7989690721649485
50.0,0.95,0.7989690721649485
6.0,0.6,0.7989690721649485
3.0,0.9,0.7989690721649485
1.2,0.9,0.7989690721649485
50.0,0.4,0.7989690721649485
1.8,0.99,0.7989690721649485
6.0,0.8,0.7989690721649485
1.2,0.95,0.7989690721649485
20.0,0.99,0.7989690721649485
6.0,0.99,0.7989690721649485
12.0,0.5,0.7989690721649485
3.0,0.95,0.7989690721649485
12.0,0.9,0.7989690721649485
1.8,0.9,0.7989690721649485
3.0,0.99,0.7989690721649485
6.0,0.5,0.7989690721649485
inf,0.99,0.7989690721649485
inf,0.6,0.7989690721649485
1.8,0.95,0.7989690721649485
inf,0.95,0.7989690721649485
12.0,0.6,0.7989690721649485
20.0,0.95,0.7989690721649485
50.0,0.9,0.7989690721649485
50.0,0.5,0.7989690721649485
1.2,0.99,0.7989690721649485
12.0,0.8,0.7989690721649485
20.0,0.6,0.7989690721649485
inf,0.4,0.7989690721649485
20.0,0.9,0.7989690721649485
inf,0.9,0.7989690721649485
12.0,0.99,0.7989690721649485
6.0,0.9,0.7989690721649485
3.0,0.4,0.7989690721649485
20.0,0.8,0.7989690721649485
inf,0.5,0.7989690721649485
12.0,0.4,0.7989690721649485
3.0,0.5,0.7989690721649485
50.0,0.99,0.7989690721649485
50.0,0.6,0.7989690721649485
50.0,0.8,0.7989690721649485
6.0,0.4,0.7989690721649485
20.0,0.4,0.7989690721649485
inf,0.8,0.7989690721649485
3.0,0.8,0.7989690721649485
20.0,0.5,0.7989690721649485
6.0,0.95,0.7989690721649485
1.8,0.8,0.48366662526394244
1.2,0.6,0.48366662526394244
1.8,0.4,0.48366662526394244
1.2,0.8,0.48366662526394244
1.2,0.5,0.48366662526394244
1.8,0.5,0.48366662526394244
1.2,0.4,0.48366662526394244
1.8,0.6,0.48366662526394244
