Odds Ratio,PPV,Youden's J Index
1.8,0.99,0.9140625
1.2,0.99,0.9140625
50.0,0.99,0.9140625
20.0,0.99,0.9140625
12.0,0.99,0.9140625
6.0,0.99,0.9140625
3.0,0.99,0.9140625
50.0,0.8,0.90234375
6.0,0.95,0.90234375
50.0,0.4,0.90234375
50.0,0.95,0.90234375
1.8,0.95,0.90234375
1.2,0.95,0.90234375
50.0,0.5,0.90234375
3.0,0.95,0.90234375
50.0,0.6,0.90234375
12.0,0.95,0.90234375
20.0,0.95,0.90234375
50.0,0.9,0.90234375
20.0,0.9,0.875
20.0,0.6,0.875
20.0,0.5,0.875
20.0,0.8,0.875
20.0,0.4,0.875
12.0,0.9,0.79296875
inf,0.8,0.76953125
inf,0.95,0.76953125
inf,0.4,0.76953125
inf,0.9,0.76953125
inf,0.5,0.76953125
inf,0.99,0.76953125
inf,0.6,0.76953125
12.0,0.6,0.73828125
12.0,0.8,0.73828125
12.0,0.5,0.73828125
12.0,0.4,0.73828125
6.0,0.9,0.69921875
3.0,0.9,0.69921875
1.8,0.9,0.69921875
1.2,0.9,0.69921875
6.0,0.8,0.2890625
6.0,0.6,0.2265625
1.8,0.8,0.18359375
3.0,0.8,0.18359375
1.2,0.8,0.18359375
3.0,0.6,0.0234375
6.0,0.5,0.0078125
6.0,0.4,0.0078125
1.2,0.5,0.0
1.8,0.4,0.0
1.2,0.4,0.0
1.8,0.5,0.0
1.8,0.6,0.0
3.0,0.5,0.0
1.2,0.6,0.0
3.0,0.4,0.0
