Odds Ratio,PPV,Youden's J Index
6.0,0.6,0.5530487804878048
6.0,0.5,0.5530487804878048
6.0,0.4,0.5530487804878048
3.0,0.6,0.47621951219512193
3.0,0.4,0.47621951219512193
3.0,0.5,0.47621951219512193
1.2,0.8,0.43414634146341463
1.8,0.8,0.43414634146341463
3.0,0.8,0.43414634146341463
12.0,0.6,0.2896341463414634
6.0,0.8,0.2896341463414634
12.0,0.8,0.2896341463414634
12.0,0.5,0.2896341463414634
12.0,0.4,0.2896341463414634
1.8,0.6,0.250609756097561
1.8,0.5,0.250609756097561
1.2,0.4,0.250609756097561
1.2,0.6,0.250609756097561
1.2,0.5,0.250609756097561
1.8,0.4,0.250609756097561
12.0,0.9,0.2432926829268293
20.0,0.8,0.2432926829268293
1.2,0.9,0.2432926829268293
3.0,0.9,0.2432926829268293
20.0,0.9,0.2432926829268293
20.0,0.6,0.2432926829268293
1.8,0.9,0.2432926829268293
6.0,0.9,0.2432926829268293
20.0,0.5,0.2432926829268293
20.0,0.4,0.2432926829268293
20.0,0.95,0.12134146341463414
12.0,0.95,0.12134146341463414
3.0,0.95,0.12134146341463414
6.0,0.95,0.12134146341463414
1.2,0.95,0.12134146341463414
1.8,0.95,0.12134146341463414
12.0,0.99,0.0
50.0,0.95,0.0
3.0,0.99,0.0
1.2,0.99,0.0
inf,0.4,0.0
inf,0.5,0.0
50.0,0.6,0.0
inf,0.95,0.0
6.0,0.99,0.0
inf,0.8,0.0
50.0,0.5,0.0
1.8,0.99,0.0
inf,0.9,0.0
inf,0.99,0.0
50.0,0.8,0.0
inf,0.6,0.0
50.0,0.4,0.0
50.0,0.99,0.0
20.0,0.99,0.0
50.0,0.9,0.0
