Odds Ratio,PPV,Youden's J Index
inf,0.95,0.926829268292683
20.0,0.99,0.926829268292683
inf,0.99,0.926829268292683
12.0,0.99,0.926829268292683
inf,0.9,0.926829268292683
inf,0.8,0.926829268292683
6.0,0.99,0.926829268292683
50.0,0.99,0.926829268292683
3.0,0.99,0.926829268292683
1.2,0.99,0.926829268292683
1.8,0.99,0.926829268292683
50.0,0.95,0.7804878048780488
3.0,0.95,0.7804878048780488
20.0,0.95,0.7804878048780488
12.0,0.95,0.7804878048780488
6.0,0.95,0.7804878048780488
1.8,0.95,0.7804878048780488
1.2,0.95,0.7804878048780488
50.0,0.8,0.7073170731707317
inf,0.6,0.7073170731707317
50.0,0.9,0.7073170731707317
12.0,0.9,0.6585365853658536
6.0,0.9,0.6585365853658536
20.0,0.9,0.6585365853658536
3.0,0.9,0.6585365853658536
1.8,0.9,0.6585365853658536
1.2,0.9,0.6585365853658536
50.0,0.6,0.5853658536585367
20.0,0.8,0.5121951219512195
20.0,0.6,0.46341463414634143
1.2,0.8,0.4390243902439024
12.0,0.8,0.4390243902439024
6.0,0.8,0.4390243902439024
3.0,0.8,0.4390243902439024
1.8,0.8,0.4390243902439024
12.0,0.6,0.2682926829268293
inf,0.5,0.1707317073170732
50.0,0.5,0.14634146341463417
6.0,0.6,0.14634146341463417
1.2,0.6,0.07317073170731703
3.0,0.6,0.07317073170731703
20.0,0.5,0.07317073170731703
1.8,0.6,0.07317073170731703
12.0,0.5,0.04878048780487809
6.0,0.5,0.04878048780487809
inf,0.4,0.0
6.0,0.4,0.0
12.0,0.4,0.0
1.8,0.5,0.0
1.2,0.4,0.0
3.0,0.5,0.0
1.8,0.4,0.0
1.2,0.5,0.0
20.0,0.4,0.0
50.0,0.4,0.0
3.0,0.4,0.0
