Odds Ratio,PPV,Youden's J Index
20.0,0.6,0.9285714285714286
3.0,0.6,0.8571428571428572
6.0,0.6,0.8571428571428572
1.8,0.6,0.8571428571428572
12.0,0.6,0.8571428571428572
1.2,0.6,0.8571428571428572
50.0,0.5,0.7619047619047619
inf,0.4,0.6428571428571428
50.0,0.4,0.5952380952380952
20.0,0.5,0.5714285714285714
12.0,0.5,0.5476190476190477
20.0,0.4,0.45238095238095233
1.2,0.5,0.38095238095238093
6.0,0.5,0.38095238095238093
1.8,0.5,0.38095238095238093
12.0,0.4,0.38095238095238093
3.0,0.5,0.38095238095238093
6.0,0.4,0.1428571428571429
1.2,0.4,0.1428571428571429
1.8,0.4,0.1428571428571429
3.0,0.4,0.1428571428571429
6.0,0.8,0.0
1.2,0.95,0.0
inf,0.99,0.0
inf,0.9,0.0
inf,0.6,0.0
50.0,0.99,0.0
3.0,0.8,0.0
12.0,0.9,0.0
inf,0.5,0.0
1.8,0.95,0.0
1.8,0.9,0.0
3.0,0.99,0.0
20.0,0.95,0.0
3.0,0.9,0.0
6.0,0.95,0.0
50.0,0.9,0.0
inf,0.95,0.0
1.2,0.9,0.0
1.2,0.8,0.0
3.0,0.95,0.0
12.0,0.99,0.0
1.2,0.99,0.0
12.0,0.95,0.0
20.0,0.8,0.0
1.8,0.99,0.0
20.0,0.99,0.0
6.0,0.99,0.0
50.0,0.8,0.0
12.0,0.8,0.0
20.0,0.9,0.0
6.0,0.9,0.0
50.0,0.95,0.0
inf,0.8,0.0
50.0,0.6,0.0
1.8,0.8,0.0
