Odds Ratio,PPV,Youden's J Index
6.0,0.6,0.4763869711312065
6.0,0.8,0.4763869711312065
1.8,0.8,0.4443176285607106
3.0,0.8,0.4443176285607106
1.2,0.8,0.4443176285607106
6.0,0.9,0.33110917783400245
12.0,0.6,0.33110917783400245
3.0,0.9,0.33110917783400245
12.0,0.9,0.33110917783400245
12.0,0.8,0.33110917783400245
1.8,0.9,0.33110917783400245
1.2,0.9,0.33110917783400245
12.0,0.4,0.21719038079351272
12.0,0.5,0.21719038079351272
20.0,0.4,0.21145972176772476
20.0,0.5,0.21145972176772476
6.0,0.5,0.19498607242339838
6.0,0.4,0.19498607242339838
3.0,0.6,0.10306406685236769
3.0,0.5,0.05013927576601673
3.0,0.4,0.05013927576601673
1.8,0.6,0.02228412256267409
1.2,0.6,0.00835654596100277
1.8,0.5,0.0027855153203342198
1.8,0.4,0.0027855153203342198
12.0,0.99,0.0
1.2,0.4,0.0
20.0,0.95,0.0
6.0,0.99,0.0
1.8,0.99,0.0
1.2,0.5,0.0
50.0,0.4,0.0
20.0,0.6,0.0
1.8,0.95,0.0
20.0,0.99,0.0
50.0,0.99,0.0
50.0,0.95,0.0
inf,0.8,0.0
inf,0.6,0.0
50.0,0.5,0.0
1.2,0.99,0.0
inf,0.4,0.0
50.0,0.8,0.0
inf,0.9,0.0
inf,0.99,0.0
50.0,0.9,0.0
1.2,0.95,0.0
inf,0.5,0.0
12.0,0.95,0.0
20.0,0.8,0.0
20.0,0.9,0.0
6.0,0.95,0.0
50.0,0.6,0.0
3.0,0.99,0.0
inf,0.95,0.0
3.0,0.95,0.0
