Odds Ratio,PPV,Youden's J Index
1.2,0.8,0.3157894736842105
3.0,0.8,0.3157894736842105
6.0,0.4,0.3157894736842105
1.8,0.9,0.3157894736842105
1.2,0.9,0.3157894736842105
20.0,0.5,0.3157894736842105
50.0,0.6,0.3157894736842105
1.8,0.8,0.3157894736842105
6.0,0.8,0.3157894736842105
1.8,0.6,0.3157894736842105
20.0,0.8,0.3157894736842105
1.8,0.4,0.3157894736842105
12.0,0.8,0.3157894736842105
1.2,0.4,0.3157894736842105
3.0,0.4,0.3157894736842105
50.0,0.8,0.3157894736842105
1.8,0.5,0.3157894736842105
6.0,0.6,0.3157894736842105
20.0,0.6,0.3157894736842105
1.2,0.5,0.3157894736842105
12.0,0.6,0.3157894736842105
6.0,0.5,0.3157894736842105
50.0,0.5,0.3157894736842105
12.0,0.4,0.3157894736842105
12.0,0.5,0.3157894736842105
inf,0.8,0.3157894736842105
3.0,0.6,0.3157894736842105
20.0,0.4,0.3157894736842105
inf,0.5,0.3157894736842105
inf,0.4,0.3157894736842105
1.2,0.6,0.3157894736842105
3.0,0.9,0.3157894736842105
3.0,0.5,0.3157894736842105
50.0,0.4,0.3157894736842105
inf,0.6,0.3157894736842105
3.0,0.95,0.2502482621648461
6.0,0.95,0.2502482621648461
1.2,0.95,0.2502482621648461
1.8,0.95,0.2502482621648461
12.0,0.9,0.22343594836146974
12.0,0.95,0.22343594836146974
6.0,0.99,0.10625620655412116
20.0,0.95,0.10625620655412116
1.8,0.99,0.10625620655412116
12.0,0.99,0.10625620655412116
inf,0.9,0.10625620655412116
50.0,0.9,0.10625620655412116
50.0,0.95,0.10625620655412116
20.0,0.9,0.10625620655412116
inf,0.95,0.10625620655412116
20.0,0.99,0.10625620655412116
50.0,0.99,0.10625620655412116
inf,0.99,0.10625620655412116
1.2,0.99,0.10625620655412116
3.0,0.99,0.10625620655412116
6.0,0.9,0.10029791459781523
